day,followers
2020-03-01,208977
2020-03-03,209225
2020-03-05,209521
2020-03-07,209769
2020-03-09,210017
2020-03-10,210172
2020-03-12,210348
2020-03-13,210501
2020-03-15,210709
2020-03-17,210924
2020-03-19,211315
2020-03-21,211741
2020-03-24,212110
2020-03-26,212380
2020-03-28,212603
2020-03-30,212752
2020-04-01,212975
2020-04-03,213138
2020-04-05,213316
2020-04-07,213479
2020-04-09,213610
2020-04-11,213748
2020-04-13,213939
2020-04-16,214129
2020-04-18,214328
2020-04-22,214523
2020-04-24,214621
2020-04-26,214706
2020-04-28,214771
2020-04-30,214869
2020-05-02,214985
2020-05-04,215114
2020-05-06,215270
2020-05-09,215406
2020-05-11,215605
2020-05-12,215813
2020-05-14,216029
2020-05-16,216287
2020-05-18,216544
2020-05-20,216744
2020-05-22,217038
2020-05-25,217423
2020-05-29,217828
2020-06-02,218371
2020-06-05,218404
2020-06-09,218528
2020-06-13,219006
2020-06-16,219335
